date,time,temperature_2m
2023-12-12,00:00,7.0
2023-12-12,01:00,6.8
2023-12-12,02:00,6.4
2023-12-12,03:00,6.3
2023-12-12,04:00,6.1
2023-12-12,05:00,6.0
2023-12-12,06:00,6.0
2023-12-12,07:00,5.9
2023-12-12,08:00,
,,6.1
2023-12-12,10:00,6.1
,,
2023-12-12,12:00,6.5
2023-12-12,13:00,6.7
2023-12-12,14:00,6.7
2023-12-12,15:00,6.5
2023-12-12,16:00,6.1
2023-12-12,17:00,5.7
2023-12-12,18:00,5.2
2023-12-12,19:00,4.5
2023-12-12,20:00,4.1
2023-12-12,21:00,4.0
2023-12-12,22:00,3.9
2023-12-12,23:00,3.7
2023-12-13,00:00,3.7
2023-12-13,01:00,3.9
2023-12-13,02:00,3.9
2023-12-13,03:00,4.0
2023-12-13,04:00,4.1
2023-12-13,05:00,4.2
2023-12-13,06:00,4.2
2023-12-13,07:00,4.3
2023-12-13,08:00,4.3
2023-12-13,09:00,4.4
2023-12-13,10:00,4.7
2023-12-13,11:00,5.0
2023-12-13,12:00,5.3
2023-12-13,13:00,5.4
2023-12-13,14:00,5.2
2023-12-13,15:00,5.0
2023-12-13,16:00,4.7
2023-12-13,17:00,4.5
2023-12-13,18:00,4.1
2023-12-13,19:00,3.7
2023-12-13,20:00,3.2
2023-12-13,21:00,2.7
2023-12-13,22:00,2.3
2023-12-13,23:00,2.0
2023-12-14,00:00,1.6
2023-12-14,01:00,1.3
2023-12-14,02:00,1.2
2023-12-14,03:00,1.1
2023-12-14,04:00,0.9
2023-12-14,05:00,0.8
2023-12-14,06:00,0.6
2023-12-14,07:00,1.6
2023-12-14,08:00,1.6
2023-12-14,09:00,2.1
2023-12-14,10:00,2.7
2023-12-14,11:00,3.1
2023-12-14,12:00,3.4
2023-12-14,13:00,3.4
2023-12-14,14:00,3.2
2023-12-14,15:00,2.9
2023-12-14,16:00,2.5
2023-12-14,17:00,2.4
2023-12-14,18:00,2.1
2023-12-14,19:00,1.8
2023-12-14,20:00,1.4
2023-12-14,21:00,0.9
2023-12-14,22:00,0.5
2023-12-14,23:00,0.3
2023-12-15,00:00,0.2
2023-12-15,01:00,0.2
2023-12-15,02:00,0.3
2023-12-15,03:00,0.3
2023-12-15,04:00,0.3
2023-12-15,05:00,0.3
2023-12-15,06:00,0.3
2023-12-15,07:00,0.6
2023-12-15,08:00,1.1
2023-12-15,09:00,1.8
2023-12-15,10:00,2.6
2023-12-15,11:00,3.6
2023-12-15,12:00,4.4
2023-12-15,13:00,5.0
2023-12-15,14:00,5.3
2023-12-15,15:00,5.5
2023-12-15,16:00,5.5
2023-12-15,17:00,5.4
2023-12-15,18:00,5.3
2023-12-15,19:00,5.3
2023-12-15,20:00,5.4
2023-12-15,21:00,5.5
2023-12-15,22:00,5.5
2023-12-15,23:00,5.5
2023-12-16,00:00,5.5
2023-12-16,01:00,5.5
2023-12-16,02:00,5.4
2023-12-16,03:00,5.4
2023-12-16,04:00,5.3
2023-12-16,05:00,5.1
2023-12-16,06:00,5.0
2023-12-16,07:00,4.9
2023-12-16,08:00,4.9
2023-12-16,09:00,4.9
2023-12-16,10:00,5.1
2023-12-16,11:00,5.2
2023-12-16,12:00,5.4
2023-12-16,13:00,5.6
2023-12-16,14:00,5.7
2023-12-16,15:00,5.9
2023-12-16,16:00,6.2
2023-12-16,17:00,6.4
2023-12-16,18:00,6.7
2023-12-16,19:00,7.0
2023-12-16,20:00,7.3
2023-12-16,21:00,7.5
2023-12-16,22:00,7.8
2023-12-16,23:00,8.0
2023-12-17,00:00,8.2
2023-12-17,01:00,8.3
2023-12-17,02:00,8.5
2023-12-17,03:00,8.6
2023-12-17,04:00,8.6
2023-12-17,05:00,8.5
2023-12-17,06:00,8.5
2023-12-17,07:00,8.6
2023-12-17,08:00,8.6
2023-12-17,09:00,8.7
2023-12-17,10:00,8.9
2023-12-17,11:00,9.1
2023-12-17,12:00,9.3
2023-12-17,13:00,9.4
2023-12-17,14:00,9.5
2023-12-17,15:00,9.4
2023-12-17,16:00,9.2
2023-12-17,17:00,8.9
2023-12-17,18:00,8.7
2023-12-17,19:00,8.6
2023-12-17,20:00,8.6
2023-12-17,21:00,8.6
2023-12-17,22:00,8.5
2023-12-17,23:00,8.4
2023-12-18,00:00,8.2
2023-12-18,01:00,7.8
2023-12-18,02:00,7.3
2023-12-18,03:00,7.0
2023-12-18,04:00,6.9
2023-12-18,05:00,7.1
2023-12-18,06:00,7.2
2023-12-18,07:00,7.2
2023-12-18,08:00,7.2
2023-12-18,09:00,7.2
2023-12-18,10:00,7.2
2023-12-18,11:00,7.3
2023-12-18,12:00,7.4
2023-12-18,13:00,7.4
2023-12-18,14:00,7.4
2023-12-18,15:00,7.4
2023-12-18,16:00,7.3
2023-12-18,17:00,7.2
2023-12-18,18:00,7.1
2023-12-18,19:00,7.0
2023-12-18,20:00,6.9
2023-12-18,21:00,6.8
2023-12-18,22:00,6.7
2023-12-18,23:00,6.6
