time,temperature_2m_c,rain_mm,snowfall_cm,snow_depth_m,weather_code,visibility_m,wind_speed_10m_km_h,wind_speed_80m_km_h
2023-12-12T00:00,1.8,0.00,0.00,0.06,45,80.00,4.2,10.8
2023-12-12T01:00,1.5,0.00,0.00,0.06,3,100.00,3.6,9.2
2023-12-12T02:00,1.1,0.00,0.00,0.06,3,100.00,2.9,8.4
2023-12-12T03:00,0.9,0.00,0.00,0.06,3,100.00,3.4,8.6
2023-12-12T04:00,0.9,0.00,0.00,0.06,3,120.00,3.6,8.8
2023-12-12T05:00,0.7,0.00,0.00,0.06,45,120.00,3.6,9.0
2023-12-12T06:00,0.6,0.00,0.00,0.06,45,100.00,4.7,10.0
2023-12-12T07:00,0.6,0.00,0.00,0.06,3,100.00,5.4,12.2
2023-12-12T08:00,0.6,0.00,0.00,0.06,45,100.00,3.3,9.0
2023-12-12T09:00,0.7,0.00,0.00,0.06,3,100.00,5.5,11.6
2023-12-12T10:00,1.0,0.00,0.00,0.06,3,80.00,7.4,15.8
2023-12-12T11:00,1.1,0.00,0.00,0.06,3,100.00,8.6,16.3
2023-12-12T12:00,1.1,0.00,0.00,0.05,51,140.00,8.4,16.1
2023-12-12T13:00,1.1,0.00,0.00,0.05,3,140.00,9.0,17.1
2023-12-12T14:00,1.2,0.10,0.00,0.05,51,120.00,7.9,15.8
2023-12-12T15:00,1.2,0.00,0.00,0.05,51,200.00,7.8,17.4
2023-12-12T16:00,1.2,0.00,0.00,0.05,3,120.00,7.7,17.7
2023-12-12T17:00,1.3,0.00,0.00,0.05,3,140.00,6.6,16.2
2023-12-12T18:00,1.4,0.00,0.00,0.05,3,140.00,6.9,16.5
2023-12-12T19:00,1.4,0.00,0.00,0.05,51,80.00,6.6,16.1
2023-12-12T20:00,1.3,0.10,0.00,0.05,51,60.00,5.9,14.1
2023-12-12T21:00,1.2,0.30,0.00,0.05,61,80.00,5.8,13.2
2023-12-12T22:00,1.1,0.20,0.00,0.05,53,80.00,5.2,12.1
2023-12-12T23:00,1.1,0.00,0.00,0.05,3,80.00,5.2,11.7
